family;line;licenceFor;years;model;description;price
LIC;License;MX64W-SEC;3;LIC-MX64W-SEC-3YR;Meraki MX64W Advanced Security License and Support. 3 Years;1300.00;
LIC;License;MX64W-SEC;5;LIC-MX64W-SEC-5YR;Meraki MX64W Advanced Security License and Support. 5 Years;1950.00;
LIC;License;MX64W-SEC;7;LIC-MX64W-SEC-7YR;Meraki MX64W Advanced Security License and Support. 7 Years;2730.00;
LIC;License;MX64W-SEC;10;LIC-MX64W-SEC-10YR;Meraki MX64W Advanced Security License and Support. 10 Years;3900.00;
LIC;License;MX80-SEC;1;LIC-MX80-SEC-1YR;Meraki MX80 Advanced Security License and Support. 1 Year;2000.00;
LIC;License;MX80-SEC;3;LIC-MX80-SEC-3YR;Meraki MX80 Advanced Security License and Support. 3 Years;4000.00;
LIC;License;MX80-SEC;5;LIC-MX80-SEC-5YR;Meraki MX80 Advanced Security License and Support. 5 Years;6000.00;
LIC;License;MX80-SEC;7;LIC-MX80-SEC-7YR;Meraki MX80 Advanced Security License and Support. 7 Years;8400.00;
LIC;License;MX80-SEC;10;LIC-MX80-SEC-10YR;Meraki MX80 Advanced Security License and Support. 10 Years;12000.00;
LIC;License;MX100-SEC;1;LIC-MX100-SEC-1YR;Meraki MX100 Advanced Security License and Support. 1 Year;5000.00;
LIC;License;MX100-SEC;3;LIC-MX100-SEC-3YR;Meraki MX100 Advanced Security License and Support. 3 Years;10000.00;
LIC;License;MX100-SEC;5;LIC-MX100-SEC-5YR;Meraki MX100 Advanced Security License and Support. 5 Years;15000.00;
LIC;License;MX100-SEC;7;LIC-MX100-SEC-7YR;Meraki MX100 Advanced Security License and Support. 7 Years;21000.00;
LIC;License;MX100-SEC;10;LIC-MX100-SEC-10YR;Meraki MX100 Advanced Security License and Support. 10 Years;30000.00;
LIC;License;MX400-SEC;1;LIC-MX400-SEC-1YR;Meraki MX400 Advanced Security License and Support. 1 Year;16000.00;
LIC;License;MX400-SEC;3;LIC-MX400-SEC-3YR;Meraki MX400 Advanced Security License and Support. 3 Years;32000.00;
LIC;License;MX400-SEC;5;LIC-MX400-SEC-5YR;Meraki MX400 Advanced Security License and Support. 5 Years;48000.00;
LIC;License;MX400-SEC;7;LIC-MX400-SEC-7YR;Meraki MX400 Advanced Security License and Support. 7 Years;67200.00;
LIC;License;MX400-SEC;10;LIC-MX400-SEC-10YR;Meraki MX400 Advanced Security License and Support. 10 Years;96000.00;
LIC;License;MX600-SEC;1;LIC-MX600-SEC-1YR;Meraki MX600 Advanced Security License and Support. 1 Year;32000.00;
LIC;License;MX600-SEC;3;LIC-MX600-SEC-3YR;Meraki MX600 Advanced Security License and Support. 3 Years;64000.00;
LIC;License;MX600-SEC;5;LIC-MX600-SEC-5YR;Meraki MX600 Advanced Security License and Support. 5 Years;96000.00;
LIC;License;MX600-SEC;7;LIC-MX600-SEC-7YR;Meraki MX600 Advanced Security License and Support. 7 Years;134400.00;
LIC;License;MX600-SEC;10;LIC-MX600-SEC-10YR;Meraki MX600 Advanced Security License and Support. 10 Years;192000.00;
SFP;Accesory;;;IM-8-CU-1GB;Meraki 8 x 1 GbE Copper Interface Module for MX400 and MX600;3999.00;
SFP;Accesory;;;IM-8-SFP-1GB;Meraki 8 x 1 GbE SFP Interface Module for MX400 and MX600;4999.00;
